model,seed,f1_macro,roc_auc,balanced_accuracy
LogisticRegression,42,0.995674978454795,0.9998313889901568,0.9947183740430185
LogisticRegression,123,0.9814726840855107,0.9974571636893911,0.9861192125410134
LogisticRegression,456,0.9827333211811885,0.9985098432373314,0.9827333211811885
LogisticRegression,789,0.9854419290884779,0.9993483412322275,0.9798213634706525
LogisticRegression,2024,0.9812582399707784,0.9985280714546118,0.9803294750273424
MLP,42,0.9942444403937295,0.9998906306963179,0.9942444403937295
MLP,123,0.9828652828652829,0.9962928363106088,0.9865931461903026
MLP,456,0.9827333211811885,0.9982341414509661,0.9827333211811885
MLP,789,0.9825303149061736,0.9995442945679912,0.9769435836675173
MLP,2024,0.9796187007238693,0.9983936383521691,0.974065803864382
SVM_Linear,42,0.9899471603371641,0.9997083485235144,0.9908927269413051
SVM_Linear,123,0.979932905404792,0.9974343784177907,0.9817854538826103
SVM_Linear,456,0.9811853062272179,0.9986374407582939,0.9783995625227853
SVM_Linear,789,0.9811116287898397,0.9990247903755013,0.9764696500182282
SVM_Linear,2024,0.9736918846858857,0.9978399562522786,0.9663803317535544
XGBoost,42,0.9857752329122592,0.999690120306234,0.9914008384979949
XGBoost,123,0.9742979242979244,0.9984961720743711,0.9779598067808968
XGBoost,456,0.9812582399707784,0.998332118118848,0.9803294750273424
XGBoost,789,0.981037196845192,0.9989427633977397,0.9745397375136711
XGBoost,2024,0.9753961696817465,0.9981680641633248,0.9726440029165148
RandomForest,42,0.9928194002408315,0.9998359460444769,0.9937705067444405
RandomForest,123,0.9712222019686474,0.9979242617572002,0.9712222019686474
RandomForest,456,0.9783748922739751,0.9979379329201603,0.9774516952242072
RandomForest,789,0.978119842513683,0.9986055413780532,0.9716619577105359
RandomForest,2024,0.9752998222636365,0.9976759022967554,0.9707140904119578
