model,f1_mean,f1_std,f1_min,f1_max,f1_range,auc_mean,auc_std,bal_mean,bal_std,stability_score
LogisticRegression,0.98531623055615,0.0053894529601974306,0.9812582399707784,0.995674978454795,0.014416738484016589,0.9987349617207437,0.0008129744036491368,0.9847443492526431,0.005461548441968032,0.994611
MLP,0.9843984120140487,0.005067597342802021,0.9796187007238693,0.9942444403937295,0.01462573966986025,0.9984711082756107,0.0012628377836901399,0.982916059059424,0.007153797115937166,0.994932
SVM_Linear,0.9811737770889799,0.005186419293110253,0.9736918846858857,0.9899471603371641,0.016255275651278378,0.9985289828654758,0.0008150347388251706,0.9787855450236966,0.007937064641199936,0.994814
XGBoost,0.97955295274158,0.0042124084551655346,0.9742979242979244,0.9857752329122592,0.011477308614334825,0.9987258476121035,0.0005469498018881177,0.9793747721472839,0.006576027232228801,0.995788
RandomForest,0.9791672318521547,0.007296394793615077,0.9712222019686474,0.9928194002408315,0.021597198272184093,0.9983959168793293,0.0007833588305683116,0.9769640904119579,0.008750288937773175,0.992704
