model,f1_mean,f1_std,f1_min,f1_max,f1_range,auc_mean,auc_std,bal_mean,bal_std,stability_score
XGBoost,0.9935253990293408,0.00034112437427924366,0.9929623914332898,0.9938429382502059,0.0008805468169160724,0.9996879234151581,0.00010920872360959388,0.9935527923710511,0.0003427154127748651,0.999659
LightGBM,0.9934198803909133,0.0004260606738284568,0.9926092777536546,0.9938439403431949,0.001234662589540303,0.9996159189947192,9.578020724389233e-05,0.9934555476384739,0.0004951495391074898,0.999574
CatBoost,0.992962195526057,0.000963984438630884,0.9917291980297871,0.9940183624822008,0.0022891644524136723,0.9995394473713034,0.00017034376864388142,0.9929786521845607,0.0009840897869064958,0.999036
GradientBoosting,0.9904283379195595,0.0010191254662260474,0.9892637352860265,0.9917310381198303,0.0024673028338038083,0.9991103005332338,0.00014246037191618482,0.9904394226355514,0.0011067712482258991,0.998981
RandomForest,0.9899285304612662,0.0009498336923098136,0.9885503252069856,0.9913757873609065,0.002825462153920877,0.9986791600673897,0.0002603745282484093,0.9896026527555751,0.0010579172854973259,0.99905
