model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,ranking_score
XGBoost,0.9933,0.0007,0.9933,0.0007,0.9933,0.0007,0.9932,0.0007,0.9866,0.0014,0.9997,0.0001,0.993,0.0014,0.9946,0.0012,0.8939
LightGBM,0.9931,0.001,0.9931,0.001,0.9931,0.001,0.993,0.001,0.9861,0.0021,0.9997,0.0002,0.9934,0.0012,0.9938,0.001,0.8937
CatBoost,0.992,0.0014,0.9919,0.0014,0.992,0.0014,0.9919,0.0015,0.9839,0.0029,0.9995,0.0003,0.9924,0.0019,0.9927,0.0011,0.8926
GradientBoosting,0.9905,0.0017,0.9905,0.0018,0.9905,0.0017,0.9904,0.0018,0.9809,0.0035,0.9992,0.0002,0.9911,0.0021,0.9914,0.0015,0.8912
RandomForest,0.9893,0.0009,0.9892,0.0009,0.9893,0.0009,0.9889,0.001,0.9785,0.0017,0.9987,0.0003,0.9866,0.002,0.9936,0.0008,0.8901
